Label;8205;8206;8207;8208;8209;8210;8211;8212
Число избирателей, включенных в список избирателей;1611;9366;6828;4618;4678;8202;5908;4971
Число избирательных бюллетеней, полученных участковой избирательной комиссией;1612;10000;7000;4618;5200;9000;6500;5235
Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;0;0;0;0;0;0;0;0
Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;1611;9366;6828;4618;4678;8202;5908;4971
Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;0;0;0;0;0;0;0;0
Число погашенных избирательных бюллетеней;1;634;172;0;522;798;592;264
Число избирательных бюллетеней в переносных ящиках для голосования;0;0;0;0;0;0;0;0
Число бюллетеней в стационарных ящиках для голосования;1611;9366;6828;4618;4678;8202;5908;4971
Число недействительных избирательных бюллетеней;11;77;46;44;55;68;35;60
Число действительных избирательных бюллетеней;1600;9289;6782;4574;4623;8134;5873;4911
Число утраченных избирательных бюллетеней;0;0;0;0;0;0;0;0
Число избирательных бюллетеней, не учтенных при получении;0;0;0;0;0;0;0;0
Даванков Владислав Андреевич;11;84;70;39;45;88;36;25
Путин Владимир Владимирович;1572;9073;6629;4448;4517;7951;5756;4851
Слуцкий Леонид Эдуардович;13;38;26;50;18;29;23;11
Харитонов Николай Михайлович;4;94;57;37;43;66;58;24
