"en_country","alpha.2","_total_diff_rat","_total_diff"
"Cyprus","CY",9.08260704812429,47938
"Bangladesh","BD",7.41908713692946,3576
"Serbia","RS",2.44817518248175,3354
"Argentina","AR",2.38784067085954,1139
"Montenegro","ME",2.36629213483146,1053
"Egypt","EG",2.13899868247694,3247
"Turkey","TR",1.51097178683386,8676
"Azerbaijan","AZ",1.08965062623599,1653
"Syria","SY",1.05626465225319,4055
"Qatar","QA",0.867647058823529,177
"Luxembourg","LU",0.703358208955224,377
"Malaysia","MY",0.697058823529412,237
"Saudi Arabia","SA",0.649253731343284,174
"Bolivia","BO",-0.523316062176166,-101
"Nicaragua","NI",-0.532085561497326,-199
"Indonesia","ID",-0.546728971962617,-351
"United States of America","US",-0.586574129472299,-4902
"Namibia",NA,-0.617100371747212,-166
"Israel","IL",-0.622328181519237,-7570
"Bulgaria","BG",-0.675017642907551,-3826
"Czechia","CZ",-0.717180464149636,-4141
"Germany","DE",-0.75329589122081,-25484
"Lithuania","LT",-0.828278322925959,-3714
"New Zealand","NZ",-0.844686648501362,-930
"Estonia","EE",-0.913187517811342,-25635
"Sudan","SD",-0.922948073701843,-551
"Latvia","LV",-0.955254792409209,-19833
